SITEID,LAT,LON
2007190103.0,-17.8568,141.1343
2007190104.0,-31.2069,131.45
2007190105.0,-27.6357,148.7402
2007190106.0,-31.4903,142.1858
2007190107.0,-30.6934,134.2807
2007190108.0,-28.6863,143.2471
2007190110.0,-37.7193,148.4774
2007190111.0,-26.9226,142.0858
2007190112.0,-33.1477,149.5039
2007190113.0,-19.8141,146.0284
2007190114.0,-25.6866,151.7798
2007190115.0,-31.7149,138.2156
2007190116.0,-16.2696,137.088
2007190117.0,-23.6609,139.8748
2007190118.0,-12.9586,132.383
2007190119.0,-20.5315,131.0648
2007190121.0,-29.0518,133.2902
2007190122.0,-33.075,145.5889
2007190123.0,-21.2931,132.7696
2007190124.0,-37.1744,145.5691
2007190125.0,-20.4808,140.5896
2007190126.0,-25.6463,149.7918
2007190127.0,-36.2785,140.8132
2007190128.0,-32.5397,144.7951
2007190129.0,-31.8137,126.5585
2007190130.0,-28.875,122.1138
2007190131.0,-32.669,134.3047
2007190132.0,-24.9854,137.6081
2007190134.0,-30.1662,137.7499
2007190135.0,-22.1038,118.284
2007190136.0,-41.504,147.0589
2007190137.0,-20.1402,132.3594
2007190138.0,-21.0016,146.4245
2007190139.0,-26.6784,122.9053
2007190141.0,-28.9365,123.2715
2007190142.0,-31.6128,122.4467
2007190144.0,-25.5175,152.6445
2007190145.0,-31.2472,130.8978
2007190146.0,-22.851,129.2329
2007190147.0,-26.0518,121.9344
2007190148.0,-30.3125,141.0653
2007190149.0,-35.1639,143.6998
2007190150.0,-21.8341,135.5159
2007190151.0,-26.4977,121.6282
2007190152.0,-30.8382,126.2394
2007190153.0,-33.7314,121.9907
2007190154.0,-12.4952,141.8922
2007190155.0,-24.9771,138.7357
2007190156.0,-30.2352,142.4503
2007190158.0,-18.2815,134.2266
2007190159.0,-30.6589,130.0314
2007190161.0,-29.3572,121.8765
2007190162.0,-35.1156,141.5534
2007190163.0,-32.9117,115.8234
2007190164.0,-31.9102,135.2598
2007190165.0,-25.2261,131.7118
2007190166.0,-29.5292,123.1426
2007190167.0,-25.0138,118.2705
2007190168.0,-33.9792,147.5618
2007190169.0,-12.9273,135.0381
2007190170.0,-13.6279,141.7009
2007190172.0,-36.1532,141.9985
2007190174.0,-35.777,140.4609
2007190175.0,-29.2412,134.3732
2007190176.0,-26.708,114.6715
2007190177.0,-14.0074,134.4374
2007190178.0,-16.4287,130.934
2007190179.0,-27.0123,136.8879
2007190181.0,-30.1478,148.3915
2007190182.0,-35.0312,147.1067
2007190183.0,-25.2963,133.1004
2007190184.0,-24.472,130.283
2007190185.0,-22.9134,116.2835
2007190187.0,-31.8119,133.8616
2007190188.0,-28.4285,136.8471
2007190189.0,-34.089,141.9154
2007190190.0,-25.6406,119.8766
2007190192.0,-32.5643,151.0905
2007190193.0,-35.3465,145.5362
2007190194.0,-31.5759,147.1768
2007190195.0,-31.797,134.6169
2007190196.0,-33.1768,144.5708
2007190197.0,-17.0774,124.0679
2007190198.0,-25.4652,140.886
2007190202.0,-27.4679,147.3002
2007190203.0,-27.4302,116.8246
2007190204.0,-19.9721,133.6034
2007190205.0,-20.8043,143.5416
2007190206.0,-20.8551,119.7656
2007190207.0,-32.9995,118.5549
2007190208.0,-24.1356,151.6922
2007190209.0,-20.042,137.0153
2007190211.0,-17.7658,139.56
2007190212.0,-23.5789,131.1365
2007190213.0,-22.7004,114.8981
2007190214.0,-30.023,145.3978
2007190215.0,-25.3946,135.3772
2007190216.0,-31.4555,137.3559
2007190217.0,-24.4484,142.0551
2007190218.0,-28.3466,125.3904
2007190219.0,-25.9644,141.623
2007190221.0,-14.2767,130.0637
2007190222.0,-31.4629,116.7211
2007190223.0,-27.693,138.2812
2007190224.0,-33.9046,136.5596
2007190225.0,-27.9889,143.837
2007190226.0,-29.6545,148.5844
2007190227.0,-28.6086,142.5779
2007190228.0,-32.9836,138.0154
2007190229.0,-31.2279,119.6805
2007190230.0,-28.2882,118.3183
2007190231.0,-28.3554,116.6591
2007190232.0,-36.1712,144.7471
2007190233.0,-22.2404,137.1125
2007190234.0,-28.0505,150.1469
2007190235.0,-24.7004,115.309
2007190237.0,-24.0527,147.7664
2007190238.0,-27.2707,122.9383
2007190239.0,-20.7317,133.4897
2007190241.0,-32.3995,150.3716
2007190242.0,-24.8289,134.1901
2007190243.0,-34.0558,141.7953
2007190244.0,-28.6164,119.0561
2007190245.0,-28.7293,123.8622
2007190246.0,-16.0825,136.3183
2007190248.0,-28.0636,139.2786
2007190249.0,-29.9187,121.3594
2007190251.0,-31.6779,135.386
2007190252.0,-14.6245,144.2471
2007190253.0,-30.8376,140.6597
2007190256.0,-28.1337,136.7866
2007190257.0,-35.8178,142.4117
2007190258.0,-29.2165,152.5645
2007190259.0,-33.3491,145.882
2007190261.0,-18.5404,144.1146
2007190263.0,-32.4377,142.5283
2007190264.0,-20.9932,146.2946
2007190265.0,-19.641,136.0504
2007190266.0,-29.1721,136.3256
2007190267.0,-20.9514,117.4412
2007190268.0,-35.3487,146.2836
2007190269.0,-22.8591,131.5524
